key,name,iata-code,operational-scope,city,country,website,email-address,contact-phone-number
# base entity
airport-01,"Lorem ipsum dolor sit ame","LID","INTERNATIONAL","Lorem ipsum dolor sit ame","Lorem ipsum dolor sit ame","http://lorem.com","lorem@acme.com","5462854987"
#name - standard variations
airport-02,"L","HHH","INTERNATIONAL","Lorem ipsum dolor sit ame","Lorem ipsum dolor sit ame","http://lorem.com","lorem@acme.com","5462854987"
airport-03,"Lo","III","INTERNATIONAL","Lorem ipsum dolor sit ame","Lorem ipsum dolor sit ame","http://lorem.com","lorem@acme.com","5462854987"
airport-04,"Lorem ipsum dolor sit amet, consectetur adipiscin","AAC","INTERNATIONAL","Lorem ipsum dolor sit ame","Lorem ipsum dolor sit ame","http://lorem.com","lorem@acme.com","5462854987"
airport-05,"Lorem ipsum dolor sit amet, consectetur adipiscing","AAD","INTERNATIONAL","Lorem ipsum dolor sit ame","Lorem ipsum dolor sit ame","http://lorem.com","lorem@acme.com","5462854987"
airport-06,"โลเร็ม อิปซัม","AAE","INTERNATIONAL","Lorem ipsum dolor sit ame","Lorem ipsum dolor sit ame","http://lorem.com","lorem@acme.com","5462854987"
airport-07,"لوريم إيبسوم","AAF","INTERNATIONAL","Lorem ipsum dolor sit ame","Lorem ipsum dolor sit ame","http://lorem.com","lorem@acme.com","5462854987"
airport-08,"洛伦·伊普森","AAG","INTERNATIONAL","Lorem ipsum dolor sit ame","Lorem ipsum dolor sit ame","http://lorem.com","lorem@acme.com","5462854987"
airport-09,"<marquee>Hacked</marquee>","AAH","INTERNATIONAL","Lorem ipsum dolor sit ame","Lorem ipsum dolor sit ame","http://lorem.com","lorem@acme.com","5462854987"
airport-10,"<script>alert(‘Hacked!’);</script>","AAI","INTERNATIONAL","Lorem ipsum dolor sit ame","Lorem ipsum dolor sit ame","http://lorem.com","lorem@acme.com","5462854987"
airport-11,"' or 'A' = 'A ","AAJ","INTERNATIONAL","Lorem ipsum dolor sit ame","Lorem ipsum dolor sit ame","http://lorem.com","lorem@acme.com","5462854987"
#iataCode - standar variations
airport-12,"Lorem ipsum dolor sit ame","AAA","INTERNATIONAL","Lorem ipsum dolor sit ame","Lorem ipsum dolor sit ame","http://lorem.com","lorem@acme.com","5462854987"
airport-13,"Lorem ipsum dolor sit ame","AAB","INTERNATIONAL","Lorem ipsum dolor sit ame","Lorem ipsum dolor sit ame","http://lorem.com","lorem@acme.com","5462854987"
airport-14,"Lorem ipsum dolor sit ame","ZZY","INTERNATIONAL","Lorem ipsum dolor sit ame","Lorem ipsum dolor sit ame","http://lorem.com","lorem@acme.com","5462854987"
airport-15,"Lorem ipsum dolor sit ame","ZZZ","INTERNATIONAL","Lorem ipsum dolor sit ame","Lorem ipsum dolor sit ame","http://lorem.com","lorem@acme.com","5462854987"
#operationalScope - standard variations
airport-16,"Lorem ipsum dolor sit ame","AAK","DOMESTIC","Lorem ipsum dolor sit ame","Lorem ipsum dolor sit ame","http://lorem.com","lorem@acme.com","5462854987"
airport-17,"Lorem ipsum dolor sit ame","AAL","REGIONAL","Lorem ipsum dolor sit ame","Lorem ipsum dolor sit ame","http://lorem.com","lorem@acme.com","5462854987"
#city - standard variations
